Protein Group	SubGroup	Protein	Protein ID	Entry Name	Gene Names	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Unique Stripped Peptides	Summarized Total Spectral Count	Summarized Unique Spectral Count	Summarized Razor Spectral Count	qx017084_EGFP_1 Total Spectral Count	qx017084_EGFP_1 Unique Spectral Count	qx017084_EGFP_1 Razor Spectral Count	qx017084_EGFP_1 Total Intensity	qx017084_EGFP_1 Unique Intensity	qx017084_EGFP_1 Razor Intensity	qx017098_EGFP_2 Total Spectral Count	qx017098_EGFP_2 Unique Spectral Count	qx017098_EGFP_2 Razor Spectral Count	qx017098_EGFP_2 Total Intensity	qx017098_EGFP_2 Unique Intensity	qx017098_EGFP_2 Razor Intensity	qx017108_EGFP_4 Total Spectral Count	qx017108_EGFP_4 Unique Spectral Count	qx017108_EGFP_4 Razor Spectral Count	qx017108_EGFP_4 Total Intensity	qx017108_EGFP_4 Unique Intensity	qx017108_EGFP_4 Razor Intensity	qx017176_NSP2_1 Total Spectral Count	qx017176_NSP2_1 Unique Spectral Count	qx017176_NSP2_1 Razor Spectral Count	qx017176_NSP2_1 Total Intensity	qx017176_NSP2_1 Unique Intensity	qx017176_NSP2_1 Razor Intensity	qx017177_NSP2_2 Total Spectral Count	qx017177_NSP2_2 Unique Spectral Count	qx017177_NSP2_2 Razor Spectral Count	qx017177_NSP2_2 Total Intensity	qx017177_NSP2_2 Unique Intensity	qx017177_NSP2_2 Razor Intensity	qx017178_NSP2_3 Total Spectral Count	qx017178_NSP2_3 Unique Spectral Count	qx017178_NSP2_3 Razor Spectral Count	qx017178_NSP2_3 Total Intensity	qx017178_NSP2_3 Unique Intensity	qx017178_NSP2_3 Razor Intensity	Indistinguishable Proteins
23	a	sp|O15235|RT12_HUMAN	O15235	RT12_HUMAN	MRPS12	138	52	Homo sapiens OX=9606	1:Experimental evidence at protein level	"28S ribosomal protein S12, mitochondrial "	1	0.999	7	40	40	40	8	8	8	14430056	14430056	14430056	6	6	6	15011762	15011762	15011762	7	7	7	8198063	8198063	8198063	4	4	4	14247928	14247928	14247928	9	9	9	15644386	15644386	15644386	6	6	6	14649494	14649494	14649494	
24	a	sp|O15347|HMGB3_HUMAN	O15347	HMGB3_HUMAN	HMGB3	200	51	Homo sapiens OX=9606	1:Experimental evidence at protein level	High mobility group protein B3 	1	0.999	11	42	41	41	4	4	4	7146392	7146392	7146392	14	13	13	39790279	39790279	39790279	9	9	9	11326389	11326389	11326389	3	3	3	3151428	3151428	3151428	0	0	0	0	0	0	12	12	12	40264020	40264020	40264020	
25	a	sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit D 	1	0.999	5	7	7	7	1	1	1	515332	515332	515332	2	2	2	842696	842696	842696	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	1031674	1031674	1031674	
26	a	sp|O43148|MCES_HUMAN	O43148	MCES_HUMAN	RNMT	476	10	Homo sapiens OX=9606	1:Experimental evidence at protein level	mRNA cap guanine-N7 methyltransferase 	1	0.9987	4	3	3	3	0	0	0	0	0	0	1	1	1	213115	213115	213115	0	0	0	0	0	0	2	2	2	460668	460668	460668	0	0	0	0	0	0	0	0	0	0	0	0	
27	a	sp|O43242|PSMD3_HUMAN	O43242	PSMD3_HUMAN	PSMD3	534	9	Homo sapiens OX=9606	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 3 	1	0.999	4	2	2	2	0	0	0	0	0	0	2	2	2	462939	462939	462939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	a	sp|O43290|SNUT1_HUMAN	O43290	SNUT1_HUMAN	SART1	800	5	Homo sapiens OX=9606	1:Experimental evidence at protein level	U4/U6.U5 tri-snRNP-associated protein 1 	1	0.999	2	6	6	6	1	1	1	341218	341218	341218	1	1	1	301693	301693	301693	2	2	2	503389	503389	503389	1	1	1	199095	199095	199095	1	1	1	202351	202351	202351	0	0	0	0	0	0	
29	a	sp|O43390|HNRPR_HUMAN	O43390	HNRPR_HUMAN	HNRNPR	633	34	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein R 	1	0.999	19	31	23	31	12	8	12	3671020	3156265	3671020	5	3	5	3087912	2135563	3087912	0	0	0	0	0	0	14	12	14	15055044	5210535	15055044	0	0	0	0	0	0	0	0	0	0	0	0	
30	a	sp|O43396|TXNL1_HUMAN	O43396	TXNL1_HUMAN	TXNL1	289	33	Homo sapiens OX=9606	1:Experimental evidence at protein level	Thioredoxin-like protein 1 	1	0.999	8	17	17	17	3	3	3	2036633	2036633	2036633	3	3	3	1215782	1215782	1215782	1	1	1	408980	408980	408980	6	6	6	1801227	1801227	1801227	3	3	3	1248108	1248108	1248108	1	1	1	679447	679447	679447	
31	a	sp|O43482|MS18B_HUMAN	O43482	MS18B_HUMAN	OIP5	229	30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein Mis18-beta 	1	0.999	4	11	11	11	1	1	1	552764	552764	552764	1	1	1	726283	726283	726283	1	1	1	641869	641869	641869	2	2	2	972368	972368	972368	2	2	2	1050948	1050948	1050948	4	4	4	1841248	1841248	1841248	
32	a	sp|O43583|DENR_HUMAN	O43583	DENR_HUMAN	DENR	198	25	Homo sapiens OX=9606	1:Experimental evidence at protein level	Density-regulated protein 	1	0.999	4	5	5	5	0	0	0	0	0	0	1	1	1	272990	272990	272990	2	2	2	1099029	1099029	1099029	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	5602338	5602338	5602338	
33	a	sp|O43663|PRC1_HUMAN	O43663	PRC1_HUMAN	PRC1	620	21	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein regulator of cytokinesis 1 	1	0.999	10	16	12	12	5	3	3	1608673	797200	797200	5	4	4	1793260	676001	676001	2	1	1	1269283	414568	414568	2	2	2	730953	730953	730953	1	1	1	299678	299678	299678	1	1	1	346293	346293	346293	
34	a	sp|O43684|BUB3_HUMAN	O43684	BUB3_HUMAN	BUB3	328	56	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitotic checkpoint protein BUB3 	1	0.999	12	39	39	39	6	6	6	1616009	1616009	1616009	11	11	11	4879807	4879807	4879807	6	6	6	2122581	2122581	2122581	4	4	4	2254758	2254758	2254758	4	4	4	1431718	1431718	1431718	8	8	8	3353928	3353928	3353928	
35	a	sp|O43734|CIKS_HUMAN	O43734	CIKS_HUMAN	TRAF3IP2	574	10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adapter protein CIKS 	1	0.999	3	6	6	6	0	0	0	0	0	0	1	1	1	299998	299998	299998	0	0	0	0	0	0	1	1	1	275050	275050	275050	1	1	1	618575	618575	618575	3	3	3	1335842	1335842	1335842	
36	a	sp|O43813|LANC1_HUMAN	O43813	LANC1_HUMAN	LANCL1	399	9	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutathione S-transferase LANCL1 	1	0.9985	4	4	4	4	0	0	0	0	0	0	1	1	1	358437	358437	358437	1	1	1	218852	218852	218852	0	0	0	0	0	0	2	2	2	1320966	1320966	1320966	0	0	0	0	0	0	
37	a	sp|O43837|IDH3B_HUMAN	O43837	IDH3B_HUMAN	IDH3B	385	32	Homo sapiens OX=9606	1:Experimental evidence at protein level	"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial "	1	0.999	10	30	30	30	6	6	6	2675278	2675278	2675278	6	6	6	4743195	4743195	4743195	7	7	7	2396393	2396393	2396393	5	5	5	2033836	2033836	2033836	4	4	4	1824938	1824938	1824938	2	2	2	625083	625083	625083	
38	a	sp|O43920|NDUS5_HUMAN	O43920	NDUS5_HUMAN	NDUFS5	106	34	Homo sapiens OX=9606	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 	1	0.999	4	3	3	3	1	1	1	338756	338756	338756	2	2	2	1868941	1868941	1868941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
39	a	sp|O60232|ZNRD2_HUMAN	O60232	ZNRD2_HUMAN	ZNRD2	199	55	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein ZNRD2 	1	0.999	4	14	14	14	7	7	7	2031923	2031923	2031923	5	5	5	2863298	2863298	2863298	2	2	2	620233	620233	620233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40	a	sp|O60343|TBCD4_HUMAN	O60343	TBCD4_HUMAN	TBC1D4	1298	7	Homo sapiens OX=9606	1:Experimental evidence at protein level	TBC1 domain family member 4 	1	0.999	8	8	8	8	4	4	4	1175251	1175251	1175251	2	2	2	1010483	1010483	1010483	2	2	2	416955	416955	416955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41	a	sp|O60506|HNRPQ_HUMAN	O60506	HNRPQ_HUMAN	SYNCRIP	623	26	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein Q 	1	0.999	13	19	11	11	10	6	6	2908723	1213030	1213030	3	1	1	2630992	757114	757114	0	0	0	0	0	0	6	4	4	12797465	1152324	1152324	0	0	0	0	0	0	0	0	0	0	0	0	
42	a	sp|O60524|NEMF_HUMAN	O60524	NEMF_HUMAN	NEMF	1076	2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear export mediator factor NEMF 	1	0.998	3	2	2	2	0	0	0	0	0	0	1	1	1	392068	392068	392068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	881961	881961	881961	
43	a	sp|O60547|GMDS_HUMAN	O60547	GMDS_HUMAN	GMDS	372	14	Homo sapiens OX=9606	1:Experimental evidence at protein level	"GDP-mannose 4,6 dehydratase "	1	0.9986	4	5	5	5	2	2	2	1208364	1208364	1208364	1	1	1	502982	502982	502982	0	0	0	0	0	0	2	2	2	1053153	1053153	1053153	0	0	0	0	0	0	0	0	0	0	0	0	
679	a	SARS_CoV_2_nsp2	SARS_CoV_2_nsp2			0	0				1	0.999	58	1510	1509	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	440	440	5122104576	5122104576	5122104576	508	508	508	4916069248	4916069248	4916069248	562	561	562	6754567296	6754567296	6754567296	
45	a	sp|O60716|CTND1_HUMAN	O60716	CTND1_HUMAN	CTNND1	968	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	Catenin delta-1 	1	0.999	11	15	15	15	3	3	3	1988754	1988754	1988754	2	2	2	0	0	0	2	2	2	525509	525509	525509	3	3	3	593409	593409	593409	3	3	3	831302	831302	831302	2	2	2	758839	758839	758839	
46	a	sp|O60828|PQBP1_HUMAN	O60828	PQBP1_HUMAN	PQBP1	265	19	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polyglutamine-binding protein 1 	1	0.999	3	6	6	6	0	0	0	0	0	0	4	4	4	2429722	2429722	2429722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1490854	1490854	1490854	
47	a	sp|O60832|DKC1_HUMAN	O60832	DKC1_HUMAN	DKC1	514	14	Homo sapiens OX=9606	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit DKC1 	1	0.999	5	10	10	10	3	3	3	1475010	1475010	1475010	1	1	1	259296	259296	259296	1	1	1	472345	472345	472345	4	4	4	1341401	1341401	1341401	0	0	0	0	0	0	1	1	1	404902	404902	404902	
48	a	sp|O60869|EDF1_HUMAN	O60869	EDF1_HUMAN	EDF1	148	41	Homo sapiens OX=9606	1:Experimental evidence at protein level	Endothelial differentiation-related factor 1 	1	0.999	8	27	27	27	1	1	1	1270476	1270476	1270476	8	8	8	26278404	26278404	26278404	4	4	4	5436055	5436055	5436055	2	2	2	2438526	2438526	2438526	2	2	2	2189033	2189033	2189033	10	10	10	25555808	25555808	25555808	
49	a	sp|O75330|HMMR_HUMAN	O75330	HMMR_HUMAN	HMMR	724	6	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hyaluronan mediated motility receptor 	1	0.999	3	3	3	3	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	259159	259159	259159	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	360817	360817	360817	
50	a	sp|O75340|PDCD6_HUMAN	O75340	PDCD6_HUMAN	PDCD6	191	48	Homo sapiens OX=9606	1:Experimental evidence at protein level	Programmed cell death protein 6 	1	0.999	8	29	29	29	8	8	8	4100035	4100035	4100035	5	5	5	4781462	4781462	4781462	5	5	5	3038115	3038115	3038115	3	3	3	2282144	2282144	2282144	3	3	3	2516401	2516401	2516401	5	5	5	5151143	5151143	5151143	
51	a	sp|O75367|H2AY_HUMAN	O75367	H2AY_HUMAN	MACROH2A1	372	36	Homo sapiens OX=9606	1:Experimental evidence at protein level	Core histone macro-H2A.1 	1	0.999	9	19	15	19	4	3	4	1759653	1351037	1759653	3	2	3	1428433	745746	1428433	0	0	0	0	0	0	12	10	12	4756064	3485977	4756064	0	0	0	0	0	0	0	0	0	0	0	0	
52	a	sp|O75380|NDUS6_HUMAN	O75380	NDUS6_HUMAN	NDUFS6	124	42	Homo sapiens OX=9606	1:Experimental evidence at protein level	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial "	1	0.999	3	6	6	6	2	2	2	1019264	1019264	1019264	1	1	1	480614	480614	480614	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	251851	251851	251851	2	2	2	511284	511284	511284	
53	a	sp|O75400|PR40A_HUMAN	O75400	PR40A_HUMAN	PRPF40A	957	13	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-processing factor 40 homolog A 	1	0.999	14	38	38	38	5	5	5	2238035	2238035	2238035	6	6	6	2568478	2568478	2568478	6	6	6	1723025	1723025	1723025	8	8	8	2872667	2872667	2872667	7	7	7	3196255	3196255	3196255	6	6	6	3491615	3491615	3491615	
54	a	sp|O75475|PSIP1_HUMAN	O75475	PSIP1_HUMAN	PSIP1	530	16	Homo sapiens OX=9606	1:Experimental evidence at protein level	PC4 and SFRS1-interacting protein 	1	0.999	9	12	12	12	3	3	3	846401	846401	846401	4	4	4	1452567	1452567	1452567	1	1	1	278452	278452	278452	1	1	1	1035196	1035196	1035196	1	1	1	404421	404421	404421	2	2	2	2754692	2754692	2754692	
55	a	sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Barrier-to-autointegration factor 	1	0.999	8	28	28	28	6	6	6	7198885	7198885	7198885	7	7	7	14199585	14199585	14199585	0	0	0	0	0	0	14	14	14	30709785	30709785	30709785	1	1	1	314186	314186	314186	0	0	0	0	0	0	
56	a	sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	8	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor 3B subunit 1 	1	0.999	7	6	6	6	2	2	2	486440	486440	486440	2	2	2	392647	392647	392647	2	2	2	1034325	1034325	1034325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57	a	sp|O75643|U520_HUMAN	O75643	U520_HUMAN	SNRNP200	2136	4	Homo sapiens OX=9606	1:Experimental evidence at protein level	U5 small nuclear ribonucleoprotein 200 kDa helicase 	1	0.999	7	8	8	8	2	2	2	705131	705131	705131	3	3	3	2202899	2202899	2202899	0	0	0	0	0	0	3	3	3	614976	614976	614976	0	0	0	0	0	0	0	0	0	0	0	0	
58	a	sp|O75821|EIF3G_HUMAN	O75821	EIF3G_HUMAN	EIF3G	320	7	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G 	1	0.999	2	4	4	4	1	1	1	266065	266065	266065	0	0	0	0	0	0	2	2	2	402231	402231	402231	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	265853	265853	265853	
59	a	sp|O75937|DNJC8_HUMAN	O75937	DNJC8_HUMAN	DNAJC8	253	50	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 8 	1	0.999	15	45	45	45	2	2	2	2635563	2635563	2635563	14	14	14	1146835094	1146835094	1146835094	8	8	8	27083692	27083692	27083692	4	4	4	4484092	4484092	4484092	3	3	3	2612797	2612797	2612797	14	14	14	27877107	27877107	27877107	
60	a	sp|O75940|SPF30_HUMAN	O75940	SPF30_HUMAN	SMNDC1	238	42	Homo sapiens OX=9606	1:Experimental evidence at protein level	Survival of motor neuron-related-splicing factor 30 	1	0.999	7	31	31	31	5	5	5	3373655	3373655	3373655	5	5	5	3051564	3051564	3051564	5	5	5	2436103	2436103	2436103	6	6	6	3012589	3012589	3012589	4	4	4	2611770	2611770	2611770	6	6	6	4120770	4120770	4120770	
981	a	sp|Q9Y5P8|P2R3B_HUMAN	Q9Y5P8	P2R3B_HUMAN	PPP2R3B	575	2	Homo sapiens OX=9606	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta 	0.9933	0.9953	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	54613256	54613256	54613256	1	1	1	50804780	50804780	50804780	1	1	1	65328132	65328132	65328132	
62	a	sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosomal L1 domain-containing protein 1 	1	0.999	6	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	1768134	1768134	1768134	0	0	0	0	0	0	0	0	0	0	0	0	
